Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
52093,Text,2016-05-17,"Las Ilusiones del Doctor Faustino, v.1",es,"Valera, Juan, 1824-1905",Spanish fiction -- 19th century,PQ,Browsing: History - General; Browsing: Literature; Browsing: Fiction
52262,Text,2016-06-07,Cuentos de la Alhambra,es,"Irving, Washington, 1783-1859; Lamarca, Luis [Translator]","Spain -- Social life and customs; Spain -- Social life and customs -- Fiction; Alhambra (Granada, Spain); Irving, Washington, 1783-1859 -- Travel -- Spain; Alhambra (Granada, Spain) -- Fiction; Palaces -- Spain -- Granada; Palaces -- Spain -- Granada -- Fiction",DP; PS,Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Travel & Geography; Browsing: Fiction
52392,Text,2016-06-22,Miau,es,"Pérez Galdós, Benito, 1843-1920",Spanish fiction -- 19th century,PQ,Browsing: History - European; Browsing: Literature; Browsing: Fiction
52469,Text,2016-07-01,La Anexión de Puerto-Rico a los Estados Unidos de America,es,"Nieves, Juan B.",Puerto Rico -- Annexation to the United States,F1951,Browsing: History - American; Browsing: History - General
52499,Text,2016-07-04,Cuestiones políticas y económicas,es,"Huergo, Palemón",Argentina -- Economic conditions; Argentina -- Politics and government -- 1817-1860,F2801,Browsing: Economics; Browsing: History - American; Browsing: Politics
52502,Text,2016-07-05,La Igualdad Social y Política y sus Relaciones con la Libertad,es,"Arenal de García Carrasco, Concepción, 1820-1893",Equality,HM,Browsing: Culture/Civilization/Society; Browsing: Politics; Browsing: Sociology
52595,Text,2016-07-17,"Quince minutos en globo
Disparate cómico-lírico-bailable en un acto, en prosa y verso",es,"Barberá, Joaquín",Zarzuelas -- Librettos,PQ; ML,Browsing: Literature; Browsing: Performing Arts/Film
52597,Text,2016-07-17,Insolación y Morriña (Dos historias amorosas),es,"Pardo Bazán, Emilia, condesa de, 1852-1921","Spanish fiction -- 19th century; Romance fiction, Spanish",PQ,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
52682,Text,2016-07-30,Historia de Gil Blas de Santillana: Novela (Vol 2 de 3),es,"Le Sage, Alain René, 1668-1747; Isla, José Francisco de, 1703-1781 [Translator]","Adventure and adventurers -- Fiction; Blas, Gil (Fictitious character) -- Fiction",PQ,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
52795,Text,2016-08-13,"El libro rojo, 1520-1867, Tomo I",es,"Riva Palacio, Vicente, 1832-1896; Martinez de la Torre, Rafael, 1828-1876; Mateos, Juan A. (Juan Antonio), 1831-1913; Payno, Manuel, 1810-1894",Mexico -- History; Executions and executioners,F1201,Browsing: History - American; Browsing: History - General
52837,Text,2016-08-18,Libro intitulado El cortesano. Libro de motes de damas y caballeros,es,"Milán, Luis, 1507?-1559; Fuensanta del Valle, Feliciano Ramírez de Arellano, marqués de la, 1826-1896 [Editor]; Sancho Rayón, José León, 1830-1900 [Editor]",Courtesy -- Early works to 1800; Courts and courtiers -- Early works to 1800,PQ,Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Literature
52857,Text,2016-08-20,"Tierras Solares
Obras Completas Vol. III",es,"Darío, Rubén, 1867-1916; Ochoa, Enrique [Illustrator]","Europe -- Description and travel; Andalusia (Spain) -- Description and travel; Darío, Rubén, 1867-1916 -- Travel -- Spain -- Andalusia; Darío, Rubén, 1867-1916 -- Travel -- Europe; Authors, Nicaraguan -- 20th century -- Travel",PQ,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Travel & Geography
52894,Text,2016-08-25,"Azul...
Obras Completas Vol. IV",es,"Darío, Rubén, 1867-1916; Ochoa, Enrique [Illustrator]",Nicaraguan literature,PQ,6 Best Loved Spanish Literary Classics; Browsing: Culture/Civilization/Society; Browsing: Literature
53003,Text,2016-09-07,La Veleta de Gastizar,es,"Baroja, Pío, 1872-1956","Aviraneta e Ibargoyen, Eugenio de, 1792-1872 -- Fiction",PQ,Browsing: Literature; Browsing: Fiction
53131,Text,2016-09-23,Historia de las Indias (vol. 5 de 5),es,"Casas, Bartolomé de las, 1484-1566","America -- Discovery and exploration -- Spanish -- Early works to 1800; Columbus, Christopher, 1451-1506 -- Early works to 1800; Indians, Treatment of -- Latin America -- Early works to 1800; Spain -- Colonies -- America -- Early works to 1800",F1401,Browsing: History - American; Browsing: History - General
53171,Text,2016-09-30,Historia de las Indias (vol. 3 de 5),es,"Casas, Bartolomé de las, 1484-1566","America -- Discovery and exploration -- Spanish -- Early works to 1800; Columbus, Christopher, 1451-1506 -- Early works to 1800; Indians, Treatment of -- Latin America -- Early works to 1800; Spain -- Colonies -- America -- Early works to 1800",F1401,Browsing: History - American; Browsing: History - General
53185,Text,2016-10-01,"Colección de Documentos Inéditos Relativos al Descubrimiento, Conquista y Organización de las Antiguas Posesiones Españolas de Ultramar. Tomo 3, De Las Islas Filipinas, II",es,Real Academia de la Historia (Spain) [Editor],Philippines -- History -- Sources; Spain -- Colonies; Philippines -- Discovery and exploration -- Spanish,DS,Browsing: History - European; Browsing: History - General; Browsing: History - Religious
53207,Text,2016-10-04,Dramas de Guillermo Shakspeare [vol. 1],es,"Shakespeare, William, 1564-1616; Menéndez y Pelayo, Marcelino, 1856-1912 [Translator]","Shakespeare, William, 1564-1616 -- Translations into Spanish; English drama -- Translations into Spanish",PR,Browsing: Language & Communication; Browsing: Literature
53294,Text,2016-10-16,Recuerdos Del Tiempo Viejo,es,"Zorrilla, José, 1817-1893","Zorrilla, José, 1817-1893",PQ,Browsing: Literature
53330,Text,2016-10-20,Dafnis y Cloe; leyendas del antiguo Oriente (fragmentos),es,"Valera, Juan, 1824-1905; Longus",Spanish literature; Daphnis (Greek mythology) -- Fiction,PQ,Browsing: Culture/Civilization/Society; Browsing: Language & Communication; Browsing: Literature; Browsing: Fiction
53355,Text,2016-10-23,La novela en el tranvía,es,"Pérez Galdós, Benito, 1843-1920",Madrid (Spain) -- Fiction; Spanish fiction,PQ,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
53405,Text,2016-10-30,"El libro rojo, 1520-1867, Tomo II",es,"Riva Palacio, Vicente, 1832-1896; Martinez de la Torre, Rafael, 1828-1876; Mateos, Juan A. (Juan Antonio), 1831-1913; Payno, Manuel, 1810-1894",Mexico -- History; Executions and executioners,F1201,Browsing: History - American; Browsing: History - General
53413,Text,2016-10-30,"Prosa Política (Las Repúblicas Americanas)
Obras Completas Vol. XIII",es,"Darío, Rubén, 1867-1916; Ochoa, Enrique [Illustrator]",America; Latin America -- Politics and government,F1401,Browsing: History - General; Browsing: Politics
53421,Text,2016-10-31,"Documentos para la historia del virreinato del Rio de la Plata, tomo 1",es,,Argentina -- History -- 1776-1810 -- Sources,F2801,Browsing: History - American; Browsing: History - General
53429,Text,2016-11-01,El sabor de la tierruca,es,"Pereda, José María de, 1833-1906",Spanish fiction -- 19th century,PQ,Browsing: Literature; Browsing: Fiction
53436,Text,2016-11-02,"Las Ilusiones del Doctor Faustino, v.2",es,"Valera, Juan, 1824-1905",Spanish fiction -- 19th century,PQ,Browsing: Literature; Browsing: Fiction
53462,Text,2016-11-06,"Discursos sobre el arte del dançado
y sus exelencias y primer origen, reprobando las acciones deshonestas",es,"Esquivel Navarro, Juan de, active 17th century",Dance -- Early works to 1800,GV,Browsing: Culture/Civilization/Society; Browsing: Performing Arts/Film
53517,Text,2016-11-13,Los Caudillos de 1830,es,"Baroja, Pío, 1872-1956","Spain -- History -- Ferdinand VII, 1813-1833 -- Fiction; Aviraneta e Ibargoyen, Eugenio de, 1792-1872 -- Fiction",PQ,Browsing: History - European; Browsing: Literature; Browsing: Fiction
53552,Text,2016-11-19,Obras escogidas,es,"Bécquer, Gustavo Adolfo, 1836-1870; Álvarez Quintero, Joaquín, 1873-1944 [Author of introduction, etc.]; Álvarez Quintero, Serafín, 1871-1938 [Author of introduction, etc.]",Spanish literature -- 19th century,PQ,Browsing: Literature
53587,Text,2016-11-25,"El doncel de don Enrique el doliente, Tomo I (de 4)
Historia caballeresca del siglo quince",es,"Larra, Mariano José de, 1809-1837","Henry III, King of Castile and León, 1379-1406 -- Fiction",PQ,Browsing: History - Medieval/The Middle Ages; Browsing: Literature; Browsing: Fiction
53588,Text,2016-11-25,"El doncel de don Enrique el doliente, Tomo II (de 4)
Historia caballeresca del siglo quince",es,"Larra, Mariano José de, 1809-1837","Henry III, King of Castile and León, 1379-1406 -- Fiction",PQ,Browsing: History - Medieval/The Middle Ages; Browsing: Literature; Browsing: Fiction
53589,Text,2016-11-25,"El doncel de don Enrique el doliente, Tomo III (de 4)
Historia caballeresca del siglo quince",es,"Larra, Mariano José de, 1809-1837","Henry III, King of Castile and León, 1379-1406 -- Fiction",PQ,Browsing: History - Medieval/The Middle Ages; Browsing: Literature; Browsing: Fiction
53590,Text,2016-11-26,"El doncel de don Enrique el doliente, Tomo IV (de 4)
Historia caballeresca del siglo quince",es,"Larra, Mariano José de, 1809-1837","Henry III, King of Castile and León, 1379-1406 -- Fiction",PQ,Browsing: History - Medieval/The Middle Ages; Browsing: Literature; Browsing: Fiction
53718,Text,2016-12-12,"Revista de Filosofía, Año V - Nº 3 - May/1919
Cultura—Ciencias—Educación",es,"Various; Ingenieros, José, 1877-1925 [Editor]",Spanish literature -- Periodicals; Humanities -- Periodicals,AP,Browsing: Culture/Civilization/Society; Browsing: Philosophy & Ethics; Browsing: Teaching & Education
53741,Text,2016-12-15,Recuerdos de Italia (parte 1 de 2),es,"Castelar, Emilio, 1832-1899",Italy -- Description and travel; Rome (Italy) -- Description and travel,DG,Browsing: History - European; Browsing: Travel & Geography
53742,Text,2016-12-15,Recuerdos de Italia (parte 2 de 2),es,"Castelar, Emilio, 1832-1899",Italy -- Description and travel; Rome (Italy) -- Description and travel,DG,Browsing: History - European; Browsing: Travel & Geography
53743,Text,2016-12-15,El misterio de un hombre pequeñito: novela,es,"Zamacois, Eduardo, 1873-1971",Spanish fiction,PQ,Browsing: Literature; Browsing: Fiction
53798,Text,2016-12-24,Ranchos (Costumbres del Campo),es,"Viana, Javier de, 1868-1926","Short stories, Uruguayan; Uruguayan fiction",PQ,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
53837,Text,2016-12-30,Antología de prosistas castellanos,es,"Menéndez Pidal, Ramón, 1869-1968 [Compiler]",Spanish prose literature,PQ,Browsing: Language & Communication; Browsing: Literature
53867,Text,2017-01-02,"Lira Póstuma
Obras Completas Vol. XXI",es,"Darío, Rubén, 1867-1916; Ochoa, Enrique [Illustrator]",Nicaraguan poetry,PQ,Browsing: Literature; Browsing: Poetry
53927,Text,2017-01-09,"Apuntes biograficos de escritores, oradores y hombres de estado de la Republica Argentina",es,"Gutiérrez, Juan María, 1809-1878",Argentina -- Biography,F2801,Browsing: Biographies; Browsing: History - American
53930,Text,2017-01-09,"Parisiana
Obras Completas, Vol. V",es,"Darío, Rubén, 1867-1916; Ochoa, Enrique [Illustrator]",Nicaraguan literature,PQ,Browsing: Culture/Civilization/Society; Browsing: Literature
53947,Text,2017-01-12,La señorita de Trevelez: Farsa cómica en tres actos,es,"Arniches y Barrera, Carlos, 1866-1943",Comedies; Spanish drama,PQ,Browsing: Literature; Browsing: Fiction
54064,Text,2017-01-28,La cruz en América (Arqueología Argentina),es,"Quiroga, Adán, 1863-1904; Lafone Quevedo, Samuel A. (Samuel Alexander), 1835-1920 [Author of introduction, etc.]",Indian mythology; Indians -- Religion; America -- Antiquities; Indian art; Crosses -- America; Diaguita Indians,E011,Browsing: Archaeology; Browsing: Culture/Civilization/Society; Browsing: History - American
54112,Text,2017-02-05,"Todo al Vuelo
Obras Completas Vol. XVIII",es,"Darío, Rubén, 1867-1916",Nicaraguan literature,PQ,Browsing: Culture/Civilization/Society; Browsing: Literature
54120,Text,2017-02-06,La Isabelina,es,"Baroja, Pío, 1872-1956","Aviraneta e Ibargoyen, Eugenio de, 1792-1872 -- Fiction",PQ,Browsing: Literature; Browsing: Fiction
54228,Text,2017-02-24,El buey suelto... Cuadros edificantes de la vida de un solterón,es,"Pereda, José María de, 1833-1906",Spanish fiction -- 19th century; Bachelors -- Fiction,PQ,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
54282,Text,2017-03-04,Socialismo y ciencia positiva (Darwin-Spencer-Marx),es,"Ferri, Enrico, 1856-1929; Payró, Roberto Jorge, 1867-1928 [Translator]","Socialism; Evolution; Spencer, Herbert, 1820-1903",HX,Browsing: Politics; Browsing: Science - Genetics/Biology/Evolution; Browsing: Sociology
54283,Text,2017-03-05,"De Sobremesa; crónicas, Primera Parte (de 5)",es,"Benavente, Jacinto, 1866-1954",Spanish fiction -- 20th century,PQ,Browsing: Literature; Browsing: Fiction
54285,Text,2017-03-06,El Sabor de la Venganza,es,"Baroja, Pío, 1872-1956","Aviraneta e Ibargoyen, Eugenio de, 1792-1872 -- Fiction",PQ,Browsing: Literature; Browsing: Fiction
54386,Text,2017-03-18,Paris en América,es,"Laboulaye, Édouard, 1811-1883; Mansilla, Lucio V., 1831-1913 [Translator]; Sarmiento, Domingo Faustino, 1811-1888 [Translator]",United States -- Description and travel; United States -- Social life and customs -- 1783-1865,E151,Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Travel & Geography
54423,Text,2017-03-25,Realidad: Novela en cinco Jornadas,es,"Pérez Galdós, Benito, 1843-1920",Spanish drama,PQ,Browsing: Literature; Browsing: Fiction
54430,Text,2017-03-25,Las noches mejicanas,es,"Aimard, Gustave, 1818-1883; Calvo, Luis [Translator]",French fiction -- Translations into Spanish,PQ,Browsing: Literature; Browsing: Fiction
54436,Text,2017-03-26,"Teatro selecto, tomo 1 de 4",es,"Calderón de la Barca, Pedro, 1600-1681; Menéndez y Pelayo, Marcelino, 1856-1912 [Commentator]","Spanish drama -- Classical period, 1500-1700",PQ,Browsing: Literature
54471,Text,2017-04-01,"El Viaje a Nicaragua é Historia de mis libros
Obras Completas, Vol. XVII",es,"Darío, Rubén, 1867-1916; Ochoa, Enrique [Illustrator]",Nicaragua -- Description and travel,F1521,Browsing: History - American; Browsing: Travel & Geography
54521,Text,2017-04-10,La Incógnita,es,"Pérez Galdós, Benito, 1843-1920",Epistolary fiction; Spanish fiction -- 19th century,PQ,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
54522,Text,2017-04-09,La Muerte Del Cisne,es,"Reyles, Carlos, 1868-1938",Essays,PQ,Browsing: Literature
54791,Text,2017-05-26,El Tesoro de Gastón: Novela,es,"Pardo Bazán, Emilia, condesa de, 1852-1921; Passos, José [Illustrator]",Spanish fiction -- 19th century,PQ,Browsing: History - General; Browsing: Literature; Browsing: Fiction
54861,Text,2017-06-06,Torquemada en la cruz,es,"Pérez Galdós, Benito, 1843-1920",Spanish fiction -- 19th century,PQ,Browsing: History - General; Browsing: Literature; Browsing: Fiction
54934,Text,2017-06-19,"España Contemporánea
Obras Completas Vol. XIX",es,"Darío, Rubén, 1867-1916",Spain -- Description and travel; Spain -- Social life and customs; Spanish literature -- History and criticism,DP,Browsing: Culture/Civilization/Society; Browsing: History - European; Browsing: Literature; Browsing: Travel & Geography
55038,Text,2017-07-03,"De Sobremesa; crónicas, Segunda Parte (de 5)",es,"Benavente, Jacinto, 1866-1954",Spanish fiction -- 20th century,PQ,Browsing: Literature; Browsing: Fiction
55058,Text,2017-07-06,La Puchera,es,"Pereda, José María de, 1833-1906",Spanish fiction -- 19th century,PQ,Browsing: Literature; Browsing: Fiction
55139,Text,2017-07-17,Torquemada en el purgatorio,es,"Pérez Galdós, Benito, 1843-1920",Spanish fiction -- 19th century,PQ,Browsing: Literature; Browsing: Fiction
55157,Text,2017-07-20,Las Furias,es,"Baroja, Pío, 1872-1956","Aviraneta e Ibargoyen, Eugenio de, 1792-1872 -- Fiction",PQ,Browsing: Literature; Browsing: Fiction
55206,Text,2017-07-26,Fábulas,es,"Samaniego, Félix María, 1745-1801","Spanish poetry; Fables, Spanish",PQ,Browsing: Literature; Browsing: Poetry
55215,Text,2017-07-28,Cuando la tierra era niña,es,"Hawthorne, Nathaniel, 1804-1864; Milà i Fontanals, Pau, 1810-1883 [Illustrator]; Martínez Sierra, Gregorio, 1881-1947 [Translator]","Mythology, Greek; Mythology, Greek -- Juvenile literature",BL; PZ,Browsing: Children & Young Adult Reading; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
55440,Text,2017-08-27,"Estudio descriptivo de los monumentos árabes de Granada, Sevilla y Córdoba
ó sea La Alhambra, el Alcázar y la Gran Mezquita de Occidente",es,"Contreras, Rafael, 1826-1890","Alhambra (Granada, Spain); Alcázar (Seville, Spain); Catedral (Córdoba, Spain); Islamic art -- Spain; Islamic architecture -- Spain",N,Browsing: Architecture; Browsing: Art & Photography; Browsing: Culture/Civilization/Society; Browsing: History - General
55448,Text,2017-08-28,La media noche: visión estelar de un momento de guerra,es,"Valle-Inclán, Ramón del, 1866-1936","World War, 1914-1918 -- Fiction",PQ,Browsing: History - Warfare; Browsing: Literature; Browsing: Fiction
55480,Text,2017-09-03,"Granada, Poema Oriental, precedido de la Leyenda de al-Hamar, Tomo 1",es,"Zorrilla, José, 1817-1893",Granada (Spain) -- History -- Poetry,PQ,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Poetry
55514,Text,2017-09-09,Cuentos de amor,es,"Pardo Bazán, Emilia, condesa de, 1852-1921","Short stories, Spanish; Romance fiction, Spanish",PQ,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
55563,Text,2017-09-16,El amigo Manso,es,"Pérez Galdós, Benito, 1843-1920",Spanish fiction -- 19th century,PQ,Browsing: History - General; Browsing: Literature; Browsing: Fiction
55616,Text,2017-09-24,"Prosa Dispersa
Obras Completas Vol. XX",es,"Darío, Rubén, 1867-1916",Nicaraguan literature,PQ,Browsing: Culture/Civilization/Society; Browsing: Literature
